Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S285380811,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,9,US-TX,Cameron,L283726,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,2025-11-20,12:53 PM,eBird - Traveling Count,120,1,1.609,,9,,,,645920320
S319608405,Canada Goose,Branta canadensis,342,5,US-WA,Snohomish,L374380,Edmonds Marsh,47.8085287,-122.3864508,2026-04-10,07:23 AM,eBird - Traveling Count,27,1,.117,,1
S319626376,Canada Goose,Branta canadensis,342,1,US-WA,Snohomish,L20643235,Edmonds Public Fishing Pier,47.8110241,-122.3899493,2026-04-10,07:54 AM,eBird - Traveling Count,31,1,.49,,1
S304355760,Canada Goose,Branta canadensis,342,5,US-WA,Snohomish,L343338,Everett Sewage Lagoons,47.9988889,-122.17,2026-02-27,08:39 AM,eBird - Traveling Count,230,1,4.811,,1
S327075826,Canada Goose,Branta canadensis,342,4,US-WA,Snohomish,L343338,Everett Sewage Lagoons,47.9988889,-122.17,2026-04-25,06:23 AM,eBird - Traveling Count,47,1,.919,,1
S346491426,Canada Goose,Branta canadensis,342,70,US-WA,Snohomish,L4756268,Field's Riffle,47.9166297,-122.1268988,2026-05-25,07:11 AM,eBird - Traveling Count,177,1,1.517,,1
S327403524,Canada Goose,Branta canadensis,342,10,US-WA,Snohomish,L2410089,"Home Acres Rd, Everett",47.9581889,-122.1737838,2026-04-25,03:16 PM,eBird - Stationary Count,20,1,,,1
S371256974,Canada Goose,Branta canadensis,342,5,US-WA,Snohomish,L4444849,Riverview Wildlife Refuge / Snohomish Wastewater Treatment Plant,47.9165434,-122.1100652,2026-07-12,07:30 AM,eBird - Traveling Count,139,1,1.581,,1
S332089254,Canada Goose,Branta canadensis,342,10,US-WA,Thurston,L282253,Billy Frank Jr. Nisqually NWR,47.0812514,-122.7180576,2026-05-03,10:49 AM,eBird - Traveling Count,191,1,4.362,,1
S159174918,Canada Goose,Branta canadensis,342,X,US-AZ,,L108915,Arizona,34.16973,-111.93299,2024-01-12,,Historical,,1
S313780069,Hawaiian Goose,Branta sandvicensis,365,1,US-HI,Kauai,L856224,Ha'ena State Park (general),22.2202244,-159.5803642,2026-03-27,12:05 PM,eBird - Traveling Count,23,1,.581,,1
S313780052,Hawaiian Goose,Branta sandvicensis,365,X,US-HI,Kauai,L266182,Kilauea Point NWR,22.2316072,-159.4019778,2026-03-27,02:47 PM,eBird - Traveling Count,29,1,.836,,1
S313169342,Hawaiian Goose,Branta sandvicensis,365,5,US-HI,Kauai,L1186213,Poʻipū Beach Park,21.87229,-159.4540122,2026-03-25,03:49 PM,eBird - Traveling Count,90,1,3.655,,1
S314850063,Hawaiian Goose,Branta sandvicensis,365,5,US-HI,Kauai,L1186213,Poʻipū Beach Park,21.87229,-159.4540122,2026-03-30,07:30 AM,eBird - Traveling Count,45,1,1.61,,1
S159175946,Cape Barren Goose,Cereopsis novaehollandiae,372,1,AU-NSW,Sydney,L915566,Royal Botanic Gardens (Sydney),-33.8638957,151.2167577,2023-08-19,,Historical,,1
S176978136,Mute Swan,Cygnus olor,377,X,US-RI,Providence,L804728,Blackstone Park,41.833327,-71.3792148,2024-05-25,09:31 AM,eBird - Traveling Count,43,1,1.931,,1
S260171709,Mute Swan,Cygnus olor,377,X,CH-ZH,,L4507511,Zürich Stadt (city of Zurich)* general (use more precise loc.),47.3768774,8.5413551,2025-06-29,,Historical,,1
S159176051,Black Swan,Cygnus atratus,379,X,NZ-AUK,Auckland City,L15034121,Arch Hill Scenic Reserve,-36.8682519,174.7413516,2023-08-15,,Historical,,1
S159175946,Black Swan,Cygnus atratus,379,X,AU-NSW,Sydney,L915566,Royal Botanic Gardens (Sydney),-33.8638957,151.2167577,2023-08-19,,Historical,,1
S291712899,Trumpeter Swan,Cygnus buccinator,382,X,US-WA,King,L232479,Juanita Bay Park,47.6981686,-122.2101878,2026-01-01,10:37 AM,eBird - Traveling Count,158,1,1.357,,1
S296271926,Trumpeter Swan,Cygnus buccinator,382,11,US-WA,King,L232479,Juanita Bay Park,47.6981686,-122.2101878,2026-01-25,08:10 AM,eBird - Traveling Count,222,1,1.699,,1,,,,649619827
S306300352,Trumpeter Swan,Cygnus buccinator,382,2,US-WA,King,L232479,Juanita Bay Park,47.6981686,-122.2101878,2026-03-05,02:46 PM,eBird - Traveling Count,61,1,1.635,,1
S286517370,Trumpeter Swan,Cygnus buccinator,382,X,US-WA,King,L162766,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,2025-11-28,09:23 AM,eBird - Traveling Count,132,1,2.605,,1
S164380841,Trumpeter Swan,Cygnus buccinator,382,X,US-WA,Skagit,L1369427,Fir Island -- Browns Slough Road,48.35381,-122.42297,2024-03-10,09:00 AM,eBird - Traveling Count,180,0,1.609,,6
S295176122,Trumpeter Swan,Cygnus buccinator,382,20,US-WA,Skagit,L1068173,Samish Flats--East 90,48.5485465,-122.4661446,2026-01-19,07:24 AM,eBird - Stationary Count,74,1,,,1,,,,649262132
S295207120,Trumpeter Swan,Cygnus buccinator,382,10,US-WA,Skagit,L469546,Skagit Wildlife Area--Fir Island Farm Reserve (Hayton Reserve),48.3356338,-122.4131659,2026-01-19,10:32 AM,eBird - Traveling Count,32,1,.439,,1
S295226157,Trumpeter Swan,Cygnus buccinator,382,5,US-WA,Skagit,L476174,Skagit Wildlife Area--Wiley Slough,48.3246351,-122.3741287,2026-01-19,11:25 AM,eBird - Traveling Count,72,1,.891,,1
