,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Falcated Duck,0.0015,0.0,0.000627,0.0,0.0,0.0,0.0015,0.0015,0.0001252,6.77e-05,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Wigeon,0.02987,0.0282338,0.0282548,0.0274818,0.0263825,0.0226617,0.020501,0.0299083,0.0277326,0.0269789,0.0237664,0.018661,0.0155623,0.0134976,0.007445,0.0049443,0.0027476,0.0016386,0.0008205,0.0003302,1.78e-05,7.79e-05,4.16e-05,0.0002139,0.0001115,7.53e-05,5.21e-05,5.73e-05,2.5e-05,7.77e-05,2.59e-05,0.0002139,0.0004378,0.0006195,0.0014849,0.003277,0.0058993,0.0093187,0.0119884,0.019041,0.0221682,0.0247946,0.0241885,0.0246208,0.0232114,0.0234458,0.0251647,0.0256941
American Wigeon,0.2089686,0.2112726,0.2106466,0.208014,0.1990259,0.1686292,0.1523025,0.2026606,0.2007846,0.2029054,0.1994836,0.177764,0.1551272,0.1392166,0.1144094,0.0933806,0.060041,0.0400243,0.0296439,0.0220839,0.0147694,0.0119961,0.0092394,0.0072541,0.0049289,0.0041176,0.0044823,0.0037839,0.005764,0.0065784,0.0146322,0.0323656,0.057208,0.0775108,0.0966664,0.1215821,0.1406324,0.1681249,0.1937341,0.2207705,0.2251608,0.2285264,0.2231415,0.2224885,0.2094994,0.2041612,0.1948347,0.2086222
Mallard,0.3390459,0.3511241,0.3502215,0.3619835,0.3536298,0.3106958,0.2900445,0.3805169,0.3824548,0.4015249,0.4014272,0.4002359,0.392731,0.3906545,0.3689628,0.3643341,0.340476,0.3224245,0.3061627,0.2724236,0.2197458,0.1974684,0.1864322,0.1774855,0.1771935,0.1857943,0.1963099,0.2126818,0.2244485,0.2444381,0.2624465,0.2727013,0.2745893,0.2691325,0.2781944,0.2970152,0.2946132,0.3104162,0.3342881,0.3568348,0.3526489,0.3668243,0.3631577,0.3630908,0.3381467,0.3379534,0.3425154,0.3414727
American Black Duck,3.03e-05,0.0,0.0015,0.0,0.0015,1.81e-05,0.0,0.0,0.0,0.0015,0.0015,0.0015,0.0,2.1e-05,0.0,1.4e-05,0.0,0.0,0.0,1.27e-05,1.78e-05,0.0015,0.0,0.0,2.23e-05,5.02e-05,5.21e-05,0.0,7.49e-05,2.59e-05,0.0,0.0015,2.3e-05,0.0,0.0,8.35e-05,5e-05,0.0001035,0.0001181,0.0001262,0.0001104,0.0015,6.02e-05,0.0015,0.0001193,0.0015,0.0,1.72e-05
White-cheeked Pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Pintail,0.0844625,0.0921259,0.0978096,0.1016701,0.0938674,0.0819559,0.0733569,0.1029585,0.1025416,0.1011482,0.09102,0.0748125,0.0630831,0.0645073,0.0554005,0.0474676,0.0350849,0.0245941,0.0185754,0.0124579,0.0071981,0.0057838,0.0037249,0.0041885,0.0024979,0.0030129,0.0027624,0.0029621,0.0059886,0.0138821,0.0298093,0.0478355,0.058936,0.0681672,0.0718687,0.0745773,0.072116,0.0764651,0.0804642,0.0858634,0.0813848,0.0813351,0.0781311,0.0869202,0.0786443,0.0764347,0.0714985,0.0829971
Green-winged Teal,0.1003891,0.1066193,0.1138887,0.1229669,0.115183,0.1035653,0.0916251,0.1375551,0.1375986,0.1418421,0.1394881,0.1405684,0.1365874,0.1454301,0.1409606,0.1319822,0.0835664,0.042998,0.0307088,0.0184901,0.012921,0.0126777,0.0100718,0.0084483,0.0067577,0.0064024,0.0063065,0.0086762,0.0190638,0.0331771,0.0525101,0.0724661,0.0808469,0.0840668,0.0916425,0.1017115,0.1016623,0.1135069,0.1241363,0.1304888,0.1169975,0.1187943,0.1156473,0.1138492,0.1039441,0.1010749,0.0980392,0.100707
Canvasback,0.0265696,0.0255987,0.0254232,0.0254876,0.0262077,0.0211195,0.0168067,0.0223331,0.020909,0.0178205,0.0158578,0.0137746,0.0122276,0.0096562,0.007464,0.0046781,0.0040483,0.003171,0.0027409,0.0017906,0.0018128,0.0015774,0.0009572,0.0007129,0.000736,0.0004017,0.0006254,0.000516,0.0004741,0.0008288,0.0006745,0.0008911,0.001175,0.0016003,0.0014601,0.0025464,0.0043995,0.0096293,0.0137601,0.0211871,0.0219474,0.0224023,0.0207587,0.0229721,0.0230622,0.0193915,0.0187082,0.0229695
Redhead,0.0113999,0.0116282,0.0103756,0.0101888,0.0110073,0.0095981,0.0081733,0.0102543,0.0118109,0.0108728,0.0112428,0.0123283,0.0134186,0.0137915,0.0154217,0.0162754,0.0192495,0.0230314,0.0245635,0.0213347,0.0187506,0.0186173,0.013214,0.0100702,0.0069807,0.0051219,0.0048211,0.0050452,0.0055145,0.0055684,0.0060708,0.0061844,0.0059212,0.0072013,0.0064593,0.004905,0.0053243,0.0063937,0.0066734,0.0093417,0.0089998,0.0104976,0.0094467,0.0090569,0.0077869,0.0082029,0.007859,0.0092602
