,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Redhead,0.0103725,0.0125167,0.0107866,0.0101631,0.0123507,0.0082753,0.0054112,0.007838,0.0063377,0.005069,0.0042424,0.0026137,0.0016928,0.0015449,0.0022536,0.0014528,0.0011693,0.0020551,0.0004002,0.0004401,0.0004838,9.96e-05,0.0,0.0,0.0,0.0,0.0002502,0.0,0.0002208,0.0,0.001369,0.0031782,0.0004014,0.0014481,0.0039005,0.0015575,0.0009076,0.0011335,0.0022989,0.0063463,0.0039703,0.0068404,0.0062492,0.0067259,0.0062974,0.0074289,0.0099724,0.0102692
Ring-necked Duck,0.1322489,0.1472797,0.1553269,0.1604738,0.1312561,0.1212253,0.1114368,0.1506952,0.1390293,0.1620201,0.154026,0.160406,0.1251154,0.1484006,0.1364661,0.1125008,0.0641034,0.0365672,0.0189676,0.013076,0.0063699,0.0035853,0.0026653,0.0027291,0.0027153,0.0033109,0.0013759,0.002025,0.0018772,0.0012271,0.0019913,0.0034431,0.0065222,0.0161699,0.0327889,0.0323177,0.041549,0.0584901,0.084802,0.1109701,0.1008254,0.1335063,0.1397669,0.1438436,0.1161277,0.1391337,0.1410549,0.1413405
Tufted Duck,0.0004715,0.0002503,0.0001659,0.0001295,0.0026639,0.0010889,0.0,9.33e-05,0.0015,0.0,0.0001732,0.0003039,0.0002308,9.09e-05,8.35e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001277,9.07e-05,0.0015,0.0,0.0001202,8.97e-05,0.0015,0.0,0.0001201,0.0
Greater Scaup,0.0374823,0.0433077,0.0437272,0.0406525,0.0360833,0.0347706,0.0234485,0.0349911,0.0326514,0.0369849,0.0341126,0.0275346,0.0249307,0.0257179,0.0236207,0.0166761,0.0092854,0.0038268,0.0016006,0.001886,0.0017739,0.0005976,0.0003075,0.0002641,0.0003879,0.000473,0.0003752,9.2e-05,0.0,0.0013499,0.001369,0.0007946,0.000301,0.0033788,0.0070697,0.0112917,0.0116983,0.017343,0.0242656,0.0314597,0.026434,0.0290129,0.0253575,0.0284279,0.0293521,0.030345,0.0344828,0.0424646
Lesser Scaup,0.0652994,0.0720961,0.0736807,0.0710772,0.0607846,0.0537892,0.0461079,0.0705421,0.0593662,0.0658031,0.0683117,0.0651593,0.0471684,0.0453471,0.0409816,0.0288042,0.0206342,0.0104883,0.0056823,0.0063494,0.003064,0.0009959,0.0012301,0.0013205,0.0013576,0.0007095,0.0020013,0.0018409,0.0002208,0.0,0.0002489,0.0004414,0.0007024,0.0022927,0.0051195,0.007106,0.0109923,0.0155294,0.0266922,0.0404352,0.0357329,0.0508315,0.0435044,0.0484262,0.0437613,0.0488542,0.0628379,0.0673744
King Eider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harlequin Duck,0.0283475,0.0221963,0.0264686,0.0229156,0.0171133,0.0142276,0.0130207,0.0189419,0.0127557,0.0137051,0.0161905,0.0133722,0.0132348,0.0107234,0.0141057,0.0117491,0.0079785,0.0049607,0.0046419,0.0035833,0.0016126,0.0034857,0.0033829,0.0038736,0.0026183,0.0028379,0.0026266,0.0014728,0.0018772,0.0058903,0.0065961,0.0085636,0.0110375,0.0154459,0.0170648,0.0160615,0.0177491,0.0241442,0.0269476,0.0248413,0.020792,0.0273617,0.0246365,0.0291454,0.0226278,0.0232939,0.0162201,0.0247016
Surf Scoter,0.0853371,0.0763518,0.0780783,0.075479,0.0678883,0.0529907,0.0476862,0.0636372,0.0580826,0.0580118,0.0599134,0.0483832,0.0482456,0.0440749,0.0517486,0.0428905,0.0337025,0.0250868,0.0172869,0.0138933,0.008547,0.0090628,0.0091235,0.0106523,0.0089216,0.0094596,0.0098812,0.0085604,0.0087235,0.0115352,0.016677,0.0218063,0.0264901,0.0336672,0.0463189,0.0508128,0.0590964,0.0821809,0.089272,0.0822303,0.08275,0.0893973,0.078356,0.0825038,0.0829331,0.0784437,0.06452,0.0862476
White-winged Scoter,0.0173857,0.0138518,0.0162629,0.0117815,0.0108976,0.0087834,0.0086241,0.0109172,0.0088247,0.0099502,0.0100433,0.0067469,0.0079255,0.0069066,0.0085969,0.0043585,0.0043332,0.0033307,0.0038415,0.0030804,0.0017739,0.0005976,0.0011276,0.0028171,0.0017455,0.0022467,0.0020013,0.0023012,0.0013251,0.0020861,0.0036092,0.0043259,0.0054184,0.0104984,0.01353,0.0129466,0.0143203,0.0252777,0.0314176,0.0288305,0.026643,0.0263003,0.0242759,0.0217021,0.0226278,0.0235457,0.0142977,0.0171385
Black Scoter,0.0076615,0.0088451,0.0106206,0.0089332,0.0078302,0.0045006,0.004453,0.0049454,0.0034497,0.0045058,0.0051948,0.0034646,0.0038473,0.0034533,0.0025874,0.0016423,0.0007566,0.0007087,0.0001601,0.0015,8.06e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002489,0.0003531,0.0,0.0004827,0.0006095,0.0020442,0.0044373,0.0056676,0.0088123,0.0088849,0.0087765,0.0089633,0.0115371,0.0091472,0.0089657,0.0078066,0.0067283,0.0079101
